(14)<android.widget.RemoteViews: void setRemoteAdapter(int,int,android.content.Intent)>[normal]    ---->    <android.widget.RemoteViews: void setRemoteAdapter(int,android.content.Intent)>[normal]
(16)<android.view.View: void setBackgroundDrawable(android.graphics.drawable.Drawable)>[normal]    ---->    <android.view.View: void setBackground(android.graphics.drawable.Drawable)>[normal]
(5)<android.telephony.NeighboringCellInfo: void <init>()>[normal]    ---->    <android.telephony.NeighboringCellInfo: void <init>(int,java.lang.String,int)>[normal]
(23)<android.view.ViewGroup: void setChildrenDrawnWithCacheEnabled(boolean)>[normal]    ---->    <android.view.View: void setLayerType(int,android.graphics.Paint)>[normal]
(23)<android.media.AsyncPlayer: void play(android.content.Context,android.net.Uri,boolean,int)>[normal]    ---->    <android.media.AsyncPlayer: void play(android.content.Context,android.net.Uri,boolean,android.media.AudioAttributes)>[normal]
(28)<android.view.View: android.graphics.Bitmap getDrawingCache(boolean)>[normal]    ---->     <android.view.View: void setLayerType(int,android.graphics.Paint)>[normal]
(19)<android.bluetooth.BluetoothGatt: void abortReliableWrite(android.bluetooth.BluetoothDevice)>[normal]    ---->    <android.bluetooth.BluetoothGatt: void abortReliableWrite()>[normal]
(28)<android.view.View: void buildDrawingCache(boolean)>[normal]    ---->    <android.view.View: void setLayerType(int,android.graphics.Paint)>[normal]
(28)<android.view.ViewGroup: int getPersistentDrawingCache()>[normal]    ---->    <android.view.View: void setLayerType(int,android.graphics.Paint)>[normal]
(8)<android.net.http.SslCertificate: java.lang.String getValidNotBefore()>[normal]    ---->    <android.net.http.SslCertificate: java.util.Date getValidNotBeforeDate()>[normal]
(21)<android.telephony.PhoneNumberUtils: void formatNanpNumber(android.text.Editable)>[static]    ---->    <android.telephony.PhoneNumberUtils: java.lang.String formatNumber(java.lang.String,java.lang.String)>[static]
(28)<android.view.View: void setDrawingCacheEnabled(boolean)>[normal]    ---->    <android.view.View: void setLayerType(int,android.graphics.Paint)>[normal]
(5)<android.content.ContentResolver: void cancelSync(android.net.Uri)>[normal]    ---->    <android.content.ContentResolver: void cancelSync(android.accounts.Account,java.lang.String)>[normal]
(21)<android.opengl.EGLObjectHandle: int getHandle()>[normal]    ---->    <android.opengl.EGLObjectHandle: long getNativeHandle()>[normal]
(28)<android.content.pm.VersionedPackage: int getVersionCode()>[normal]    ---->    <android.content.pm.VersionedPackage: long getLongVersionCode()>[normal]
(28)<android.view.View: boolean isDrawingCacheEnabled()>[normal]    ---->    <android.view.View: void setLayerType(int,android.graphics.Paint)>[normal]
(3)<android.view.ViewConfiguration: int getMaximumDrawingCacheSize()>[static]    ---->    <android.view.ViewConfiguration: int getScaledMaximumDrawingCacheSize()>[normal]
(28)<android.location.GnssMeasurement: long getCarrierCycles()>[normal]    ---->    <android.location.GnssMeasurement: double getAccumulatedDeltaRangeMeters()>[normal]
(5)<android.telephony.NeighboringCellInfo: void <init>(int,int)>[normal]    ---->    <android.telephony.NeighboringCellInfo: void <init>(int,java.lang.String,int)>[normal]
(9)<android.view.MotionEvent: android.view.MotionEvent obtain(long,long,int,int,float,float,float,float,int,float,float,int,int)>[static]    ---->    <android.view.MotionEvent: android.view.MotionEvent obtain(long,long,int,float,float,float,float,int,float,float,int,int)>[static]
(16)<android.database.ContentObservable: void dispatchChange(boolean)>[normal]   ---->    <android.database.ContentObservable: void dispatchChange(boolean,android.net.Uri)>[normal]
